record_id,title,authors,year,publication_date,updated_date,doi,arxiv_id,publisher,venue,document_type,abstract,url,pdf_url,all_sources,all_query_ids,legacy_notebook_source,legacy_notebook_relevance_score,new_relevance_score,automated_topic_class,screening_decision,screening_category,review_scope_group,count_as_quantum_diffusion_model,recommended_use_in_manuscript,inclusion_justification_pt,exclusion_reason_code,screening_basis,screening_confidence,manual_verification_required,duplicate_group_id,preprint_publication_link,notes,abstract_source,abstract_available,contains_quantum_term,contains_diffusion_model_term,contains_generative_term,contains_quantum_computing_context,contains_physical_diffusion_only,contains_schrodinger_only,contains_score_matching_in_unrelated_context,crossref_query_match_quality
2026-07-09T184559Z_780688a_R001716,Survey of Hybrid Quantum Generative Adversarial Networks,Wael Badawy,2025,2025-11-24,2026-02-18,10.1109/ic-ftai67960.2025.11384211,,IEEE,2025 International Conference on Future Telecommunications and Artificial Intelligence (IC-FTAI),proceedings-article,,https://doi.org/10.1109/ic-ftai67960.2025.11384211,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Survey of Hybrid Quantum Generative Adversarial Networks' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01120,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R003393,Control-Affine Schrödinger Bridge and Generalized Bohm Potential,Alexis M. H. Teter; Abhishek Halder; Michael D. Schneider; Alexx S. Perloff; Jane Pratt; Conor M. Artman; Maria Demireva,2025,2025-01-01,2025-11-04,10.1109/lcsys.2025.3623945,2508.08511,Institute of Electrical and Electronics Engineers (IEEE),IEEE Control Systems Letters,journal-article,"The control-affine Schrödinger bridge concerns with a stochastic optimal control problem. Its solution is a controlled evolution of joint state probability density subject to a control-affine Itô diffusion with a given deadline connecting a given pair of initial and terminal densities. In this work, we recast the necessary conditions of optimality for the control-affine Schrödinger bridge problem as a two point boundary value problem for a quantum mechanical Schrödinger PDE with complex potential. This complex-valued potential is a generalization of the real-valued Bohm potential in quantum mechanics. Our derived potential is akin to the optical potential in nuclear physics where the real part of the potential encodes elastic scattering (transmission of wave function), and the imaginary part encodes inelastic scattering (absorption of wave function). The key takeaway is that the process noise that drives the evolution of probability densities induces an absorbing medium in the evolution of wave function. These results make new connections between control theory and non-equilibrium statistical mechanics through the lens of quantum mechanics.",https://doi.org/10.1109/lcsys.2025.3623945,https://arxiv.org/pdf/2508.08511v2,IEEE; Legacy arXiv notebook; arXiv,LEGACY; Q17,True,10.0,4.0,,INCLUDE,BACKGROUND,G6 - Theoretical quantum-diffusion connection,NO,Background for mathematical links between diffusion and quantum mechanics,O trabalho 'Control-Affine Schrödinger Bridge and Generalized Bohm Potential' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D00061,True,,arXiv,True,False,False,False,False,False,False,False,low
2026-07-09T184559Z_780688a_R003977,Bayesian network structure learning using quantum generative models,Hiroshi Ohno,2024,2024-12-01,2024-12-23,10.1007/s42484-024-00217-5,,Springer Science and Business Media LLC,Quantum Machine Intelligence,journal-article,,https://doi.org/10.1007/s42484-024-00217-5,,Springer,Q02; Q08; Q09; Q13,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Bayesian network structure learning using quantum generative models' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D02669,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001714,Adaptive Quantum Generative Training using an Unbounded Loss Function,Kyle Sherbert; Jim Furches; Karunya Shirali; Sophia E. Economou; Carlos Ortiz Marrero,2024,2024-09-15,2025-01-11,10.1109/qce60285.2024.00202,,IEEE,2024 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,https://doi.org/10.1109/qce60285.2024.00202,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Adaptive Quantum Generative Training using an Unbounded Loss Function' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01118,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R005168,An evolutionary quantum generative adversarial network,Jianshe Xie; Cheng Liu; Yumin Dong,2024,2024-12-01,2024-12-23,10.1007/s42484-024-00220-w,,Springer Science and Business Media LLC,Quantum Machine Intelligence,journal-article,,https://doi.org/10.1007/s42484-024-00220-w,,Springer,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'An evolutionary quantum generative adversarial network' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03449,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001690,Quantum Generative Adversarial Network Enhancement Method Based on Quantum Principal Component Analysis,QuanGong Ma; ChaoLong Hao; NianWen Si; Dan Qu,2024,2024-12-13,2025-04-04,10.1109/iccc62609.2024.10941894,,IEEE,2024 10th International Conference on Computer and Communications (ICCC),proceedings-article,,https://doi.org/10.1109/iccc62609.2024.10941894,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Adversarial Network Enhancement Method Based on Quantum Principal Component Analysis' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01101,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R003769,Quantum Bayesian inference for parameter estimation using quantum generative model,Hiroshi Ohno,2023,2023-01-18,2023-02-15,10.1007/s11128-022-03809-x,,Springer Science and Business Media LLC,Quantum Information Processing,journal-article,,https://doi.org/10.1007/s11128-022-03809-x,,Springer,Q01; Q08; Q09; Q10; Q12; Q14; Q15; Q18,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Bayesian inference for parameter estimation using quantum generative model' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D02475,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001736,Application-Oriented Benchmarking of Quantum Generative Learning Using QUARK,Florian J. Kiwit; Marwa Marso; Philipp Ross; Carlos A. Riofrío; Johannes Klepsch; Andre Luckow,2023,2023-09-17,2024-03-02,10.1109/qce57702.2023.00061,,IEEE,2023 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,https://doi.org/10.1109/qce57702.2023.00061,,IEEE,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Application-Oriented Benchmarking of Quantum Generative Learning Using QUARK' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01138,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R001637,Modeling Neuronal Activity with Quantum Generative Adversarial Networks,Vinicius Hernandes; Eliska Greplova,2023,2023-09-17,2024-03-13,10.1109/qce57702.2023.10267,,IEEE,2023 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,https://doi.org/10.1109/qce57702.2023.10267,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Modeling Neuronal Activity with Quantum Generative Adversarial Networks' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01057,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R001754,Quantum Generative Adversarial Networks For Anomaly Detection In High Energy Physics,Elie Bermot; Christa Zoufal; Michele Grossi; Julian Schuhmacher; Francesco Tacchino; Sofia Vallecorsa; Ivano Tavernelli,2023,2023-09-17,2023-11-30,10.1109/qce57702.2023.00045,,IEEE,2023 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,https://doi.org/10.1109/qce57702.2023.00045,,IEEE,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Adversarial Networks For Anomaly Detection In High Energy Physics' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01152,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R001756,Quantum Generative Adversarial Network and Quantum Neural Network for Image Classification,Arun Pandian J; Kanchanadevi K; Vadem Chandu Mohan; Pulibandla Hari Krishna; Edagottu Govardhan,2022,2022-04-07,2022-06-14,10.1109/icscds53736.2022.9760943,,IEEE,2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),proceedings-article,,https://doi.org/10.1109/icscds53736.2022.9760943,,IEEE,Q08; Q11,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Adversarial Network and Quantum Neural Network for Image Classification' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01154,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R005169,A quantum generative adversarial network for distributions,Amine Assouel; Antoine Jacquier; Alexei Kondratyev,2022,2022-12-01,2022-12-23,10.1007/s42484-022-00083-z,,Springer Science and Business Media LLC,Quantum Machine Intelligence,journal-article,"<jats:title>Abstract</jats:title><jats:p>Recent advances in Quantum Computing have shown that, despite the absence of a fault-tolerant quantum computer so far, quantum techniques are providing exponential advantage over their classical counterparts. We develop a fully connected Quantum Generative Adversarial network and show how it can be applied in Mathematical Finance, with a particular focus on volatility modelling.</jats:p>",https://doi.org/10.1007/s42484-022-00083-z,,Springer,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'A quantum generative adversarial network for distributions' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D03450,False,,Crossref,True,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R001636,Optimized Quantum Generative Adversarial Networks for Distribution Loading,Gabriele Agliardi; Enrico Prati,2022,2022-09-01,2022-12-12,10.1109/qce53715.2022.00132,,IEEE,2022 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,https://doi.org/10.1109/qce53715.2022.00132,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Optimized Quantum Generative Adversarial Networks for Distribution Loading' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01056,False,,not_available,False,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R005296,Quantum Generative Adversarial Networks,Satyadhyan Chickerur; Vasavi Kumbargeri,2022,2022-01-01,2022-05-07,10.1007/978-981-16-6460-1_4,,Springer Nature Singapore,Algorithms for Intelligent Systems,book-chapter,,https://doi.org/10.1007/978-981-16-6460-1_4,,Springer,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Adversarial Networks' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03532,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005270,Quantum Generative Modelling and Its Use Cases,Kusal M. Abeywickrama; Srinjoy Ganguly; Luis Gerardo Ayala Bertel; Saurav Mohanty,2022,2022-01-01,2022-07-21,10.1007/978-3-031-04613-1_7,,Springer International Publishing,Lecture Notes on Data Engineering and Communications Technologies,book-chapter,,https://doi.org/10.1007/978-3-031-04613-1_7,,Springer,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Modelling and Its Use Cases' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03517,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R000381,Quantum Generative Models for Small Molecule Drug Discovery,Junde Li; Rasit O. Topaloglu; Swaroop Ghosh,2021,2021-01-01,2022-01-03,10.1109/tqe.2021.3104804,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Quantum Engineering,journal-article,,https://doi.org/10.1109/tqe.2021.3104804,,IEEE,Q02; Q08; Q09,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Models for Small Molecule Drug Discovery' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D00238,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001732,Application of Quantum Generative Adversarial Learning in Quantum Image Processing,Wanghao Ren; Zhiming Li; Hailing Li; Yang Li; Chunwei Zhang; Xiaoqian Fu,2020,2020-12-01,2022-06-28,10.1109/itca52113.2020.00104,,IEEE,2020 2nd International Conference on Information Technology and Computer Application (ITCA),proceedings-article,,https://doi.org/10.1109/itca52113.2020.00104,,IEEE,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Application of Quantum Generative Adversarial Learning in Quantum Image Processing' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01135,False,,not_available,False,True,False,True,False,False,False,False,medium
