duplicate_group_id,record_id,kept_record_id,database_scope,doi_normalized,title_normalized
D00001,2026-07-09T184559Z_780688a_R000001,2026-07-09T184559Z_780688a_R007367,arXiv,,an hybrid quantum classical diffusion model for image generation
D00001,2026-07-09T184559Z_780688a_R000030,2026-07-09T184559Z_780688a_R007367,arXiv,,an hybrid quantum classical diffusion model for image generation
D00001,2026-07-09T184559Z_780688a_R000059,2026-07-09T184559Z_780688a_R007367,arXiv,,an hybrid quantum classical diffusion model for image generation
D00001,2026-07-09T184559Z_780688a_R000133,2026-07-09T184559Z_780688a_R007367,arXiv,,an hybrid quantum classical diffusion model for image generation
D00001,2026-07-09T184559Z_780688a_R007367,2026-07-09T184559Z_780688a_R007367,Legacy arXiv notebook,,an hybrid quantum classical diffusion model for image generation
D00002,2026-07-09T184559Z_780688a_R000002,2026-07-09T184559Z_780688a_R007408,arXiv,,effective color dipole approach to color transparency in 0 electroproduction
D00002,2026-07-09T184559Z_780688a_R000031,2026-07-09T184559Z_780688a_R007408,arXiv,,effective color dipole approach to color transparency in 0 electroproduction
D00002,2026-07-09T184559Z_780688a_R007408,2026-07-09T184559Z_780688a_R007408,Legacy arXiv notebook,,effective color dipole approach to color transparency in 0 electroproduction
D00003,2026-07-09T184559Z_780688a_R000003,2026-07-09T184559Z_780688a_R007409,arXiv,,deuteron normalization and channel dependent formation dynamics in pion and kaon color transparency
D00003,2026-07-09T184559Z_780688a_R000032,2026-07-09T184559Z_780688a_R007409,arXiv,,deuteron normalization and channel dependent formation dynamics in pion and kaon color transparency
D00003,2026-07-09T184559Z_780688a_R007409,2026-07-09T184559Z_780688a_R007409,Legacy arXiv notebook,,deuteron normalization and channel dependent formation dynamics in pion and kaon color transparency
D00004,2026-07-09T184559Z_780688a_R000004,2026-07-09T184559Z_780688a_R007410,arXiv,,score reversal is not free for quantum diffusion models
D00004,2026-07-09T184559Z_780688a_R000033,2026-07-09T184559Z_780688a_R007410,arXiv,,score reversal is not free for quantum diffusion models
D00004,2026-07-09T184559Z_780688a_R007410,2026-07-09T184559Z_780688a_R007410,Legacy arXiv notebook,,score reversal is not free for quantum diffusion models
D00005,2026-07-09T184559Z_780688a_R000005,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R000034,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R000061,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R000071,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R000082,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R000136,2026-07-09T184559Z_780688a_R007356,arXiv,,learning quantum data distribution via chaotic quantum diffusion model
D00005,2026-07-09T184559Z_780688a_R007356,2026-07-09T184559Z_780688a_R007356,Legacy arXiv notebook,,learning quantum data distribution via chaotic quantum diffusion model
D00006,2026-07-09T184559Z_780688a_R000006,2026-07-09T184559Z_780688a_R007375,arXiv,,enhancing quantum diffusion models for complex image generation
D00006,2026-07-09T184559Z_780688a_R000035,2026-07-09T184559Z_780688a_R007375,arXiv,,enhancing quantum diffusion models for complex image generation
D00006,2026-07-09T184559Z_780688a_R000072,2026-07-09T184559Z_780688a_R007375,arXiv,,enhancing quantum diffusion models for complex image generation
D00006,2026-07-09T184559Z_780688a_R000083,2026-07-09T184559Z_780688a_R007375,arXiv,,enhancing quantum diffusion models for complex image generation
